date,close,open,high,low
2017/6/8,7492.3,7470.11,7492.45,7455.04
2017/6/7,7436.62,7432.22,7458.99,7416.95
2017/6/6,7433.47,7419.28,7446.2,7402.62
2017/6/5,7407.73,7406.12,7438.26,7387.15
2017/6/2,7403.76,7395.79,7435.88,7393.91
2017/6/1,7369.31,7348.46,7372.43,7308.72
2017/5/31,7358.01,7393.57,7425.44,7357.13
2017/5/30,7393.57,7393.57,7393.57,7393.57
2017/5/29,7403.44,7389.62,7408.48,7375.24
2017/5/26,7390.1,7388.35,7412.14,7368.26
2017/5/25,7372.73,7298.27,7377.48,7298.27
2017/5/24,7304.46,7299.97,7304.66,7255.79
2017/5/23,7319.73,7323.03,7358.52,7295.95
2017/5/22,7298.57,7222.65,7306.23,7222.65
2017/5/19,7185.73,7152.47,7205.37,7152.47
2017/5/18,7153.39,7181.77,7205.99,7125.91
2017/5/17,7230.99,7238.58,7245.06,7218.52
2017/5/16,7193.19,7188.29,7213.04,7158.84
2017/5/15,7181.05,7139,7183.51,7139
2017/5/12,7131.13,7116.86,7149.44,7115.86
2017/5/11,7113.96,7092.82,7138.18,7089.46
2017/5/10,7077.16,7047.68,7122.98,7047.68
2017/5/9,7008.41,6934.13,7008.48,6926.62
2017/5/8,6912.07,6884.83,6921.05,6884.83
2017/5/5,6878.01,6933.53,6933.81,6857.78
2017/5/4,6939.18,6988.61,6988.61,6924.41
2017/5/3,6989.06,6989.06,6989.06,6989.06
2017/5/2,6994.33,6983.53,7018.33,6975.08
2017/5/1,6983.36,6983.36,6983.36,6983.36
2017/4/28,6980.85,6996.4,7002,6974.04
2017/4/27,6987.31,6997.74,6997.74,6940.31
2017/4/26,7006.76,7001.79,7030.59,6990.47
2017/4/25,6974.47,6900.29,6974.73,6900.29
2017/4/24,6878.23,6867.43,6909.7,6842.33
2017/4/21,6862,6864.16,6895.61,6841.97
2017/4/20,6842.24,6781.91,6842.36,6781.91
2017/4/19,6780.9,6785.71,6788.25,6749.68
2017/4/18,6788.71,6861.2,6868.33,6785.29
2017/4/17,6861.84,6861.84,6861.84,6861.84
2017/4/13,6851.88,6855.15,6882.46,6829.88
2017/4/12,6853.58,6802.98,6853.62,6788.91
2017/4/11,6818.29,6857.33,6875.69,6799.05
2017/4/10,6837.24,6854.55,6865.22,6826.99
