,company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
252,600745.SS,114.09B,27.75,0.11,3.84%,3.77%,12.14%
253,002870.SZ,2.07B,2.43,0.30,-8.49%,3.84%,-8.45%
254,002972.SZ,4.40B,8.07,N/A,39.73%,N/A,N/A
255,002661.SZ,5.84B,2.62,0.24,7.95%,3.66%,10.74%
256,600230.SS,3.37B,0.95,1.23,-0.45%,-0.99%,-0.58%
257,603612.SS,3.56B,1.43,0.95,1.96%,2.34%,3.23%
258,000155.SZ,5.00B,1.42,N/A,10.48%,N/A,N/A
259,603886.SS,4.33B,2.85,0.34,10.19%,7.22%,15.70%
260,002371.SZ,57.41B,15.34,0.56,7.36%,1.22%,7.63%
261,600390.SS,33.51B,0.97,0.70,21.01%,2.58%,8.43%
262,300160.SZ,4.11B,4.18,0.47,10.63%,5.24%,12.70%
263,000652.SZ,13.71B,3.04,0.52,1.72%,1.90%,6.14%
264,601608.SS,14.28B,1.99,0.28,2.36%,0.72%,1.92%
265,002898.SZ,2.07B,3.19,0.07,7.39%,3.26%,2.99%
266,603229.SS,4.29B,6.71,N/A,21.15%,3.62%,10.94%
267,300098.SZ,11.43B,2.00,0.34,-65.43%,-3.53%,-26.81%
268,002188.SZ,1.39B,N/A,N/A,"9,600.03%",-14.15%,N/A
269,300621.SZ,2.20B,2.35,-0.26,2.28%,2.26%,5.43%
270,600477.SS,8.59B,2.46,0.32,9.32%,3.35%,16.87%
271,603223.SS,2.63B,2.57,N/A,-0.12%,-0.49%,0.37%
272,300603.SZ,8.15B,3.43,1.43,8.22%,4.40%,5.62%
273,603648.SS,3.17B,1.90,0.54,8.91%,3.77%,6.68%
274,002186.SZ,2.91B,1.94,0.49,-4.05%,-2.73%,-4.23%
275,002112.SZ,1.36B,3.50,N/A,1.55%,1.57%,2.67%
276,603331.SS,2.34B,3.07,-0.19,7.51%,3.36%,7.27%
277,603602.SS,3.83B,5.55,N/A,3.57%,1.08%,2.32%
278,002789.SZ,1.93B,1.46,-0.06,-0.22%,2.00%,-0.64%
279,000546.SZ,5.87B,1.45,0.68,6.05%,5.09%,11.20%
280,300507.SZ,2.44B,2.48,-0.15,11.21%,5.19%,10.14%
281,300145.SZ,6.42B,1.25,0.80,-2.75%,2.36%,-1.78%
282,000937.SZ,10.64B,0.51,0.57,4.34%,2.90%,5.19%
283,603043.SS,11.19B,5.27,0.15,11.58%,8.94%,16.41%
284,601777.SS,3.90B,0.81,N/A,-82.92%,-5.29%,-95.13%
285,603669.SS,5.11B,4.05,0.00,15.13%,5.58%,16.57%
286,000517.SZ,8.56B,1.56,0.70,24.97%,2.32%,19.39%
287,300709.SZ,7.27B,5.27,0.65,12.04%,6.11%,13.95%
288,002746.SZ,7.18B,2.18,0.18,28.89%,15.34%,33.82%
289,300347.SZ,48.00B,12.42,0.69,33.44%,7.11%,24.13%
290,000895.SZ,130.58B,7.92,0.50,8.51%,15.99%,34.43%
291,000651.SZ,314.98B,3.13,0.95,12.31%,6.65%,25.29%
292,603015.SS,2.41B,2.02,N/A,5.52%,N/A,N/A
293,600721.SS,2.35B,2.42,0.10,4.75%,0.50%,1.14%
294,002311.SZ,63.53B,7.17,0.43,3.72%,6.93%,21.47%
295,601360.SS,128.04B,4.60,0.75,45.95%,6.07%,20.79%
296,002068.SZ,2.64B,0.87,1.08,-3.39%,-1.27%,-7.57%
297,300490.SZ,2.37B,1.38,-1.26,5.19%,1.58%,3.93%
298,000682.SZ,6.42B,2.01,0.95,7.21%,2.62%,8.10%
299,002510.SZ,4.61B,1.72,0.89,-1.72%,-0.60%,-1.54%
300,300001.SZ,19.43B,6.01,0.32,2.50%,0.89%,2.87%
301,600841.SS,4.35B,1.50,0.54,2.70%,-0.49%,2.87%
302,300479.SZ,2.48B,4.00,0.79,2.31%,1.18%,2.72%
303,603161.SS,1.68B,1.31,0.22,4.88%,1.39%,5.89%
304,002486.SZ,3.04B,3.30,0.30,-2.62%,1.11%,-2.63%
305,601678.SS,6.89B,1.10,1.00,5.57%,3.99%,5.45%
306,600153.SS,21.69B,0.78,0.38,1.63%,2.88%,16.23%
307,002211.SZ,2.22B,2.80,0.60,-9.64%,-2.00%,-12.66%
308,002941.SZ,9.83B,4.37,N/A,1.34%,N/A,N/A
309,600866.SS,4.07B,2.68,0.41,13.94%,4.78%,10.33%
310,300374.SZ,2.05B,1.36,0.47,6.89%,1.55%,4.06%
311,002082.SZ,6.13B,3.92,0.96,487.16%,4.29%,9.48%
312,002569.SZ,1.29B,5.00,N/A,10.81%,-0.07%,10.35%
313,000532.SZ,3.42B,4.03,0.74,16.69%,2.41%,7.99%
314,600712.SS,2.94B,2.87,1.60,-2.25%,0.54%,-3.44%
315,300797.SZ,3.82B,8.45,N/A,10.25%,1.88%,9.27%
316,300132.SZ,6.39B,2.19,0.12,13.86%,12.46%,21.79%
317,001696.SZ,6.32B,1.48,1.11,7.61%,4.07%,10.38%
318,600110.SS,4.91B,2.23,0.85,-8.83%,1.28%,-10.69%
319,600335.SS,7.47B,0.74,1.09,0.59%,1.24%,3.18%
320,300041.SZ,4.81B,2.89,0.88,8.29%,3.97%,9.19%
321,000572.SZ,3.42B,0.70,0.67,0.66%,-3.96%,0.76%
322,000039.SZ,21.87B,0.60,0.91,0.60%,0.59%,2.42%
323,600998.SS,31.92B,1.79,0.43,1.94%,3.06%,10.06%
324,603045.SS,1.73B,2.16,N/A,3.12%,4.07%,6.07%
325,002343.SZ,3.83B,2.45,0.11,14.05%,4.09%,8.44%
326,002809.SZ,2.11B,1.89,0.26,11.32%,5.47%,11.54%
327,600522.SS,29.47B,1.44,N/A,4.91%,4.06%,8.56%
328,603188.SS,3.72B,1.17,N/A,-14.01%,-2.19%,-8.43%
329,601818.SS,178.24B,0.59,0.72,44.94%,0.79%,10.55%
330,002606.SZ,2.85B,3.10,0.45,8.72%,3.95%,7.62%
331,002277.SZ,5.42B,0.79,0.57,3.30%,0.04%,0.82%
332,000883.SZ,23.10B,0.85,0.43,9.81%,3.12%,5.91%
333,603916.SS,6.14B,2.69,0.59,10.87%,7.12%,15.71%
334,601200.SS,10.71B,1.61,0.55,15.87%,3.00%,8.83%
335,002584.SZ,4.34B,2.29,1.05,1.36%,0.74%,2.86%
336,603129.SS,4.16B,4.19,1.06,6.67%,4.92%,20.02%
337,300694.SZ,2.49B,2.07,N/A,9.46%,3.77%,9.34%
338,603901.SS,3.52B,2.67,0.26,5.39%,1.82%,7.00%
339,000737.SZ,1.47B,3.82,0.84,2.71%,-1.48%,7.74%
340,002229.SZ,3.19B,1.92,1.08,4.58%,1.42%,1.42%
341,000629.SZ,19.16B,2.05,0.57,6.33%,4.26%,8.20%
342,600072.SS,8.30B,2.17,0.67,1.96%,-0.20%,0.79%
343,601696.SS,59.31B,4.66,N/A,29.28%,N/A,6.31%
344,600738.SS,4.44B,2.44,N/A,13.34%,3.76%,11.34%
345,600313.SS,4.65B,3.23,-0.39,0.35%,0.21%,1.87%
346,300723.SZ,6.80B,4.91,0.12,8.40%,5.92%,10.08%
347,002810.SZ,3.06B,3.49,0.79,14.65%,8.93%,19.39%
348,002838.SZ,15.36B,14.67,-1.08,6.14%,N/A,15.90%
349,688005.SS,13.13B,3.00,N/A,5.33%,N/A,N/A
350,300177.SZ,5.68B,2.98,0.92,-13.39%,-1.38%,-10.38%
351,600823.SS,15.30B,0.60,0.86,11.31%,2.42%,8.51%
352,600589.SS,3.63B,1.04,0.47,22.00%,2.03%,10.33%
353,002453.SZ,2.59B,2.81,0.51,-13.33%,-2.34%,-38.66%
354,603968.SS,2.60B,1.73,1.03,10.36%,6.74%,14.63%
355,603605.SS,23.18B,12.43,0.12,12.27%,9.83%,17.84%
356,002307.SZ,5.40B,2.93,0.70,0.48%,0.80%,0.77%
357,601555.SS,30.73B,1.48,1.37,16.39%,0.73%,3.06%
358,300510.SZ,3.72B,0.89,0.53,-131.58%,-0.98%,-33.72%
359,603636.SS,6.64B,3.43,0.44,14.77%,4.15%,9.98%
360,002333.SZ,2.12B,1.69,0.62,-6.12%,-3.04%,-3.68%
361,002908.SZ,2.51B,3.67,0.71,17.96%,5.81%,12.48%
362,000989.SZ,6.87B,1.72,0.78,6.21%,1.57%,4.17%
363,002182.SZ,6.02B,2.25,1.06,16.41%,4.65%,39.19%
364,000677.SZ,2.72B,9.77,0.14,0.88%,2.27%,2.40%
365,600811.SS,14.26B,0.68,N/A,4.54%,-0.22%,2.78%
366,002195.SZ,16.04B,1.61,0.99,28.26%,2.14%,3.85%
367,603496.SS,4.06B,5.07,0.61,4.68%,-0.30%,1.47%
368,601668.SS,221.21B,0.89,0.69,2.93%,2.80%,13.11%
369,603668.SS,3.28B,2.86,-0.24,2.04%,2.77%,6.91%
370,600422.SS,7.53B,1.80,0.68,5.60%,3.61%,10.77%
371,601138.SS,262.28B,2.94,N/A,4.55%,5.69%,23.01%
372,002949.SZ,3.35B,3.04,N/A,12.06%,N/A,N/A
